cbsa	metro_name	yr	qtr	index_nsa	index_sa
10420	"Akron, OH"	1991	1	100	100
10420	"Akron, OH"	1991	2	102.42	101.26
10420	"Akron, OH"	1991	3	102	101.33
10420	"Akron, OH"	1991	4	103.02	103.12
10420	"Akron, OH"	1992	1	104.5	104.44
10420	"Akron, OH"	1992	2	106.75	105.6
10420	"Akron, OH"	1992	3	108.19	107.45
10420	"Akron, OH"	1992	4	108.71	108.83
10420	"Akron, OH"	1993	1	110.17	110.07
10420	"Akron, OH"	1993	2	112.58	111.41
10420	"Akron, OH"	1993	3	113.56	112.77
10420	"Akron, OH"	1993	4	114.29	114.37
10420	"Akron, OH"	1994	1	114.42	114.33
10420	"Akron, OH"	1994	2	119.47	118.26
10420	"Akron, OH"	1994	3	119.65	118.83
10420	"Akron, OH"	1994	4	119.7	119.73
10420	"Akron, OH"	1995	1	121.9	121.83
10420	"Akron, OH"	1995	2	123.86	122.63
10420	"Akron, OH"	1995	3	125.19	124.32
10420	"Akron, OH"	1995	4	124.75	124.73
10420	"Akron, OH"	1996	1	128.49	128.48
10420	"Akron, OH"	1996	2	128.76	127.48
10420	"Akron, OH"	1996	3	132.15	131.21
10420	"Akron, OH"	1996	4	131.34	131.25
10420	"Akron, OH"	1997	1	131.9	131.99
10420	"Akron, OH"	1997	2	132.89	131.56
10420	"Akron, OH"	1997	3	133.83	132.84
10420	"Akron, OH"	1997	4	135.82	135.69
10420	"Akron, OH"	1998	1	136.42	136.57
10420	"Akron, OH"	1998	2	139.58	138.21
10420	"Akron, OH"	1998	3	139.85	138.78
10420	"Akron, OH"	1998	4	140.52	140.36
10420	"Akron, OH"	1999	1	143.03	143.21
10420	"Akron, OH"	1999	2	146.05	144.67
10420	"Akron, OH"	1999	3	146.4	145.22
10420	"Akron, OH"	1999	4	147.56	147.37
10420	"Akron, OH"	2000	1	146.04	146.28
10420	"Akron, OH"	2000	2	150.28	148.87
10420	"Akron, OH"	2000	3	151.85	150.59
10420	"Akron, OH"	2000	4	152.16	151.94
10420	"Akron, OH"	2001	1	152.08	152.43
